Sigma,Gamma,Time_to_95_percent_healing
0.015,0.005,1092500.0
0.015,0.006,1091000.0
0.015,0.007,1090000.0
0.015,0.008,1089500.0
0.015,0.009000000000000001,1089000.0
0.015,0.01,1088000.0
0.015,0.011,1088000.0
0.015,0.012,1087500.0
0.015,0.013000000000000001,1087000.0
0.015,0.014000000000000002,1086500.0
0.015,0.015,1086500.0
0.015,0.016,1086000.0
0.015,0.017,1086000.0
0.015,0.018000000000000002,1085500.0
0.015,0.019,1085500.0
0.015,0.02,1085500.0
0.015,0.021,1085000.0
0.015,0.022000000000000002,1085000.0
0.015,0.023000000000000003,1085000.0
0.015,0.024,1084500.0
0.015,0.025,1084500.0
0.0155,0.005,1092500.0
0.0155,0.006,1091000.0
0.0155,0.007,1090000.0
0.0155,0.008,1089500.0
0.0155,0.009000000000000001,1088500.0
0.0155,0.01,1088000.0
0.0155,0.011,1087500.0
0.0155,0.012,1087500.0
0.0155,0.013000000000000001,1087000.0
0.0155,0.014000000000000002,1086500.0
0.0155,0.015,1086500.0
0.0155,0.016,1086000.0
0.0155,0.017,1086000.0
0.0155,0.018000000000000002,1085500.0
0.0155,0.019,1085500.0
0.0155,0.02,1085000.0
0.0155,0.021,1085000.0
0.0155,0.022000000000000002,1085000.0
0.0155,0.023000000000000003,1084500.0
0.0155,0.024,1084500.0
0.0155,0.025,1084500.0
0.016,0.005,1092000.0
0.016,0.006,1091000.0
0.016,0.007,1090000.0
0.016,0.008,1089000.0
0.016,0.009000000000000001,1088500.0
0.016,0.01,1088000.0
0.016,0.011,1087500.0
0.016,0.012,1087000.0
0.016,0.013000000000000001,1087000.0
0.016,0.014000000000000002,1086500.0
0.016,0.015,1086000.0
0.016,0.016,1086000.0
0.016,0.017,1085500.0
0.016,0.018000000000000002,1085500.0
0.016,0.019,1085500.0
0.016,0.02,1085000.0
0.016,0.021,1085000.0
0.016,0.022000000000000002,1085000.0
0.016,0.023000000000000003,1084500.0
0.016,0.024,1084500.0
0.016,0.025,1084500.0
0.0165,0.005,1092000.0
0.0165,0.006,1091000.0
0.0165,0.007,1090000.0
0.0165,0.008,1089000.0
0.0165,0.009000000000000001,1088500.0
0.0165,0.01,1088000.0
0.0165,0.011,1087500.0
0.0165,0.012,1087000.0
0.0165,0.013000000000000001,1086500.0
0.0165,0.014000000000000002,1086500.0
0.0165,0.015,1086000.0
0.0165,0.016,1086000.0
0.0165,0.017,1085500.0
0.0165,0.018000000000000002,1085500.0
0.0165,0.019,1085000.0
