Sigma,Gamma,Beta
62551.1996514012,-8928.940003799507,-749461.0094590806
31182.7489238352,16143.88527483039,-447449.54790740454
-14644.860142056423,11817.82374228281,-712836.1196669023
-54318.226400123385,33283.66778800596,553876.3993962778
-60496.05073417694,-7501.73142522719,-415117.4068006866
-52459.41286403092,-8917.174123380973,-405415.77701597096
78936.38490613509,-23881.697507022764,474399.7773771466
26640.452085336554,31204.828969085007,-713560.4607705639
-38018.87965642661,-16828.0147774996,-704135.4672113681
-36289.68991577276,2470.3422272808384,-408363.4149012277
104291.81221467908,-6010.444594850298,505123.3538751695
-25224.005455504055,3675.440274395747,-1162427.3002489235
-60508.460281879175,-5611.078824973665,541289.894692766
31449.37827541621,6149.684611051809,-1030870.557884779
-47001.158056553046,13551.308216739213,-387283.7983478449
-103342.10562989037,-20484.976149561,525585.0205694705
-2980.3726009089733,-8096.6678916417295,-725184.5648608154
-32575.470419501828,8039.668526110414,-395726.9238308021
-44669.03584463429,1228.2229699743912,545362.7441818393
-12662.738304310304,-16050.48778839811,490963.25298243586
-16357.22937972733,-9104.38473369676,492636.911096498
-42584.805686573265,884.2149544032291,-1163476.7126248265
-49457.03547322861,-3351.5308302363264,461249.61034146126
54988.618091908924,11287.761475779116,-748510.8243426059
38047.09566926115,8722.37590632448,-447058.4856676706
-50167.19366289786,-2217.194795801246,460760.16736050474
-36673.23254693602,-12071.646510761522,-436733.3289172502
16675.548884764197,-7288.714672962553,-1018912.801273935
50081.895407188975,-15916.652496525552,497656.03465827147
-60202.6391792371,8809.285883519915,459838.8250131666
-9755.30056107475,-2401.160633939202,460687.57381083025
-14158.62300530891,-6673.450630791951,462460.4302607991
65299.035040672796,-1803.3514232503512,33233.48657660597
-58181.29716408189,-18914.855889781204,484495.01261620375
44998.631527865306,18712.050095061073,-1190889.926604205
-42579.66684546703,-13882.205588018638,463936.9096880636
-26269.03917738353,-7441.199053778546,-1154759.3137322771
-19801.87819570495,23084.237624155823,-697296.3944948222
25094.34168332268,-1290.6103294300847,-1181634.4767634184
25881.184633716475,-25110.004871703568,474294.7108171609
-27182.142460869392,-14083.717333901906,488115.19225093536
-39040.30364521865,-3804.012484362036,22501.171990207942
-25745.010835392284,1286.8602806531126,-990359.8905913255
19132.94808584277,9719.530198462482,492452.9180293695
4554.417484236881,1214.9774794824189,-995118.6792662978
-91685.01147292537,-6305.198169388226,457891.1304064637
-14136.35852021689,-14358.806769145769,486354.89019787987
47556.633485225204,-3626.688291759463,-733417.2271328853
-27633.772378789843,6306.419241393451,-977274.4926405243
43871.695098701166,-34353.81764262589,498673.59721539565
-2252.1636129616927,3052.8441723446194,25035.45563081171
-47305.73150535434,9632.080246913072,514688.45481247606
-38149.08590719833,6387.357605616715,46184.480294552784
20828.720919785672,-4938.457900357782,-733875.6580469089
1386.3732423126348,-6204.692544824618,507798.86106953875
-16358.935619837837,-3138.249838913558,-718985.5920518802
-2070.919939981657,-16449.858995358867,-422602.6798441093
-55784.754764367215,4038.9900174014037,453622.5986819668
30843.284643816645,-13153.00743517757,-1032431.6583807911
-71252.56206564038,-3283.9428590625757,496715.888552364
-27704.794334080652,19099.532581873355,558353.0545565425
-43818.27928509371,-14182.801798722823,487063.22622952616
15805.075397366967,1402.9080075804013,9540.963763490396
6300.055534125597,4624.239240017487,522723.34900115745
35455.62019382988,22080.466270182165,499475.83204923477
-103090.59155704101,-19837.72951111954,462029.2010266873
-108892.39595457725,23094.07426099194,484378.19760896644
-74003.49616463119,-1812.8792759979842,511827.5805710754
-54467.787811614224,-12036.045302154671,488444.9893464491
50561.036557868356,-4211.6022790552815,-1041025.2993090748
-81057.76746631175,-24533.526320023404,441991.3939996086
61062.17303786118,13579.555300189415,500295.21502272657
25775.032918238197,-8915.767960139085,-460567.5520528244
67957.7717980608,48544.97129334393,-700629.978423412
9580.490146511234,-694.9161650109454,488083.6181127177
-92870.28355985053,-4758.170517744147,536741.6973354772
-52589.33171596797,21892.575054236455,46413.844548425404
12274.006992219947,-11586.258622948779,-1015396.1220378329
26540.131610961864,-3832.754503997974,503368.12193123694
55004.21836344438,-5739.718163089594,492161.36538190546
-20038.831325069536,-2983.3073262728285,-1000651.2130701984
28181.785666564072,-3219.36021204968,-454947.23913956835
124418.25559843803,-9644.147594201379,548287.1865047556
30950.893705454102,-3390.4616292505525,-420446.1764950677
30668.759528210445,8919.96372017474,454535.8579608907
35024.01891468803,6258.780216750223,-756983.8978574808
-47233.36741905473,26144.438620990608,559263.5030598245
-39404.99470570893,9215.883119154954,473351.9896521508
3490.82265946595,-6076.965995030419,-416787.45250610454
41799.64821345045,9091.924032697803,-1027233.0233751987
-79431.30003694523,-7641.306226833607,456933.48322789435
-40436.930519366986,-3954.205571269791,452152.9291682151
-63031.02548842828,-3759.684988606954,497966.19201675913
24350.38787380245,-7126.0604323557345,497924.43741533975
-30290.03959103144,-13275.351996708254,485230.37639298977
76371.28370753053,-20743.891014398076,480653.3779632483
-58203.210598770995,-9908.116907653224,452299.4919839588
56883.218585829076,-9377.323387851648,467018.6410815314
4592.732024445897,-1313.6709420967381,-1173354.9708758905
92557.65607952297,4872.810047402512,498365.9645508311
