Sigma,Gamma,Beta
18154.527916666528,-9557.64333333401,-626283.7220833328
57195.79791666646,-2634.9783333328087,-343768.282083334
4383.2212500000605,6610.89374999993,-565168.7025000004
-30343.160416666884,63283.48958333346,358586.3333333331
-24140.768749999697,-6404.188750000205,-303668.75500000047
-27351.112916666316,-8931.050416667422,-281688.04916666663
70991.98666666634,-12249.469583333703,417329.645416667
-4932.611250000249,-388.8512500000652,-589908.25
-48559.28208333335,-23378.85208333342,-564735.7033333336
-35916.05083333337,13693.234166666749,-342465.8958333337
76789.6291666663,-11524.614583333489,453067.1479166669
22099.107499999925,31673.968750000116,-1046221.1637500004
-60434.0450000001,-27372.911250000063,344740.8687499998
21106.907916666823,21863.96916666685,-898499.214583334
3481.8766666667652,5498.537916666886,-281283.627083334
-44316.259583333536,11243.049166666344,343911.62291666685
5892.471666666446,4985.101666666451,-560421.6608333333
-45526.46624999962,-16301.83375000034,-322594.1625000004
-44903.36708333346,-24031.903333333787,338033.1829166669
-38707.887916666514,-1403.2229166667094,384633.02333333285
-32505.965416666295,5236.572083332867,420774.80583333306
-7278.562916666851,32144.56958333368,-1056524.5941666672
-40780.91874999949,35300.27499999991,492547.30624999927
28778.41208333365,27935.982083332958,-616885.981666667
58682.17083333334,-17364.962916666933,-357646.5454166668
-64240.101666666334,-37214.48041666695,455640.2445833329
-26392.9583333334,26799.04416666634,-335887.67333333334
18016.629583333444,11505.109583333367,-821892.9516666672
47442.12499999968,-12707.257500000065,254832.29500000004
-45022.115833333344,33835.01291666663,476316.76541666634
-25807.970833333675,6897.340416666993,480876.0429166663
-26026.337916667166,-14110.954166666197,474573.954583333
70266.80458333352,-4687.71791666669,-22729.6741666672
-54706.92916666687,-354.2179166669375,404002.80958333344
-11744.21250000014,-17537.061249999795,-1128027.8137500004
-44412.07374999998,31693.665000000037,461174.5712499996
-1292.401666666381,-12858.965416666935,-1055461.5954166672
-27228.67583333311,25470.96791666653,-595357.5045833339
6788.815833333298,-3253.0191666670144,-1101989.3841666665
12087.397916666698,-26618.78833333333,392289.30291666626
-67445.41083333347,-43972.93833333312,383160.7616666662
-52563.00708333348,-4928.583333333401,-42968.24708333348
9840.944999999832,13340.035000000033,-800068.8175000002
-28707.145000000717,7352.51125000068,452191.79624999966
-10805.399166666903,-8589.6054166666,-851007.2079166669
-54265.02458333279,-21241.773333333782,462577.4604166662
-55700.39791666661,-41995.299166666926,371381.6095833332
10181.159583332948,-11220.28666666639,-612003.4604166669
-10848.055833333172,925.3016666665208,-798211.7083333337
57698.76625000007,-5457.311250000028,259006.45749999955
-20251.315416667065,11348.773333333505,-20184.795416666817
-13327.140833333426,35249.81291666691,246113.99041666614
-44949.617499999615,-11424.721250000337,2824.501249999579
12780.81416666659,5618.972916666418,-573947.1245833334
-12291.135833333334,-11288.819583333388,259714.61791666635
-6435.482916666719,-4107.910416667117,-546283.3191666665
-17328.60833333386,177.54416666703764,-313497.77333333355
-32707.771666666667,35483.25458333368,474965.4295833326
19682.017916666577,3064.1654166665394,-853403.8958333335
-66514.01041666666,-15713.326666666573,214930.99958333286
-11862.315833333414,59852.13416666654,367779.3441666665
-63684.78166666604,-30384.81541666732,397376.509583333
-5805.232500000391,-22222.448749999978,-31448.65625
-572.6541666666453,285.63208333274815,363483.9345833335
-2255.2662500001024,26207.65375000029,411590.02499999944
-50499.09874999986,4916.086249999586,427976.92499999993
-64294.41875000041,10947.066250000382,209004.01499999966
-58261.06875000008,3304.4174999998068,256629.3137499999
-58939.68291666653,-28186.537916666828,388364.13333333295
18005.948750000098,-1838.1024999999208,-884108.5587500005
-58300.36041666637,21631.930833333172,455213.8420833328
6723.905833333032,-24574.792916666833,481810.7995833334
88736.35499999992,16030.176249999728,-327925.36875
19159.606666666106,10359.73291666701,-600016.6770833335
-26469.710416667454,-9112.684166665887,450432.80708333297
-43293.663750000385,-17827.20000000007,346466.27625000005
-21319.56124999964,11790.152500000238,1863.5712499990277
20326.2712499997,13318.417500000214,-824910.9012500002
25774.769166666752,-8878.329583333572,263176.4729166665
9238.800833333516,-30507.45041666692,475511.31208333303
15424.845833333326,10540.218333333498,-803690.0266666672
78406.79083333326,5824.638333333132,-331548.5166666668
84740.36791666679,-2333.0420833335374,257988.08666666638
-8383.599583333125,-11990.073333333683,-337164.4145833336
119223.63208333339,-8596.476666666917,427181.75708333316
25496.34791666665,-22457.307083333842,-649035.7533333332
-62251.9479166666,14931.412083333242,334067.94833333296
-43519.43125000049,7950.017500000249,442911.32624999987
-22078.291250000446,-9754.210000000196,-330253.46124999976
17189.741249999963,-12818.330000000191,-906407.8737500001
-59703.91541666677,-28891.37166666682,440257.1995833332
-35907.85208333295,-28951.39583333407,464523.41041666665
-62717.415833333594,-28449.105833333568,385048.68416666676
-7571.788333332923,-2983.027083334571,396777.2279166671
-58774.73416666608,-28393.607916667243,387696.754583333
69055.96999999986,5834.972500000207,422603.96999999956
-68370.4079166667,-45460.986666666635,455388.55708333297
38057.69791666628,2150.6004166666535,472556.1141666667
-10800.992500000168,-16293.468749999884,-1060393.7512500002
160594.20291666716,2459.8916666663717,495960.81791666604
