Sigma,Gamma,Beta
56736.227131065294,-4217.401947322721,-732881.9660928405
2896.5091243947554,6074.942107057834,-445641.5921405488
-9926.298005603852,4342.281431438341,-704479.1243349228
-63139.13903220362,15352.979637952873,557748.0184851594
-39914.7976698527,6295.259150479636,-370032.60238972027
-42568.365766859286,-5406.411375198742,-369315.36376703327
87860.25683246671,-5491.86463143829,524328.4668898754
14522.95290120475,7479.974125500223,-719913.0679358016
-34472.66072612665,-4117.365543210145,-692212.1146397585
-20972.876011854532,8658.283707727009,-382610.54860496975
99480.99049223881,-6059.978233408032,527519.8468320719
-18629.06230276843,7923.901448658005,-1146585.9800549804
-63828.45475240646,-3435.014588071744,559090.3284313923
30199.470545231154,10146.832556869722,-1004173.4440111908
-48443.85345566333,11019.31460581234,-373733.6020592433
-87895.55070780551,-8243.772382234596,555944.182180939
2015.5260377766137,-3728.2256892378464,-711149.4412576321
-31090.869118106002,2779.1258619422247,-372037.3976529279
-42610.3820163035,-826.1523873330482,562155.393494543
-8392.368251841574,-7822.01635150968,525327.243694254
-16117.891314048464,-8553.616509519603,509172.36691447103
-36592.93419535325,9514.419423719808,-1134991.6261374468
-55313.29078409655,-8324.60307035735,478424.7529453467
52372.85471981781,8829.695524141935,-738070.691153054
5190.1468124973635,-821.0139405370085,-444033.2737810526
-55140.688487816245,-6724.761990316539,478452.3095690356
-10712.200006843905,12050.627190515337,-389213.5680927686
15473.911587500377,-1975.1633454924377,-985332.8891511027
68492.24091091764,2665.832007921045,580490.7861720648
-67546.71681419507,11332.694641255584,485019.8812638392
-497.24568184866183,12778.171681263462,497566.93309148244
-606.8377695235905,5951.40850774911,496628.288352677
70337.39128531574,9889.416191419105,61449.05161417568
-67568.13007885404,-7487.065904401728,514130.055074159
28089.60301368629,2404.458104606732,-1178416.202027385
-46588.35755128361,-7842.404747119546,490685.62138929986
-19252.702128594294,-4851.110826765689,-1141443.3279537305
-32179.87624817762,14038.144037269547,-695470.4086981872
15844.96805443685,-4376.585889789338,-1163506.5230737443
35074.458156634864,-3221.949585500995,528506.3505197737
-27632.95332091949,-5588.196532163133,522615.00894398475
-32793.603121948916,3471.152123596842,43924.31008926177
-17702.30533001516,3237.6267650258574,-964317.4623441005
15191.027631008872,13061.792530684645,516377.0389292052
5506.766898471765,-5229.992961853266,-974870.914845708
-89732.05223581896,-2140.417942099203,482128.3292688233
-8180.62812462564,-4545.303311810914,525366.7905273457
37906.04560313259,-2710.4392837384876,-721402.7472284882
-28536.974187452295,739.7537087350647,-956606.9204303682
68249.02556372648,-601.6750958784369,579072.5086230576
-321.0393084631426,3486.3998855107357,39915.49851386211
-40695.79995824606,16567.656409042505,554520.0026401015
-48793.80730820534,-4418.600163967991,47213.266563082885
15169.195908234788,-2586.568032328426,-717830.7687850016
-10839.552679878723,-2103.6467627071465,545456.0585334904
-10763.015630879036,-2885.671242930526,-703647.454035281
4641.414383778221,-3486.360159832862,-390713.1951330385
-52492.81829734972,13568.485129345849,481833.19225889654
28548.60166065982,-1731.7529575132858,-998476.9896122388
-65760.85970626814,9947.996365318226,547528.7224318587
-23474.375655691423,13916.08357187919,563890.1511747196
-52071.13415152803,-6712.823438195053,516623.81668063457
13034.7715907682,-1175.0032187502527,34011.09071889074
8541.17970362347,8046.415552841394,557568.2638344403
34447.902066063936,16182.56634470773,530104.3906801287
-90242.46650274274,-8924.808454375205,491061.1340480255
-86774.90426526294,23673.1024147998,543432.6609413634
-83216.46265270405,-7148.700514329244,539787.0222579386
-67756.77456853953,-4610.737481603809,513548.37114105
42478.740850033224,-2019.6613281310727,-1015083.2204309955
-69659.48643173584,-8125.286528876614,486181.6320515145
45921.849490952285,248.25472076917964,523812.75487918424
6822.48518356304,-3402.3507294339706,-443603.2753632213
36018.222182108446,7286.296817336939,-722983.6599085365
13294.323720470262,4824.58526860221,514027.9501018303
-86332.64721627494,-741.2127960073354,556328.7191031935
-59874.336778603254,14631.154492797637,54019.04137671483
15366.97147284236,-3279.12942110278,-985442.982960839
7741.803179341323,-1163.076648597085,544435.1325601611
46347.686917949664,-1620.0178896618356,523611.19006261945
-6765.169629836906,3116.6974140218113,-969634.6686932631
7173.618466339874,-3897.142644222981,-443468.6167312115
113483.61745848818,-156.12210251109812,593803.363734935
21860.81998072517,-4700.714827857631,-393236.2460619588
19776.37978643312,176.1851446151042,479209.2941598524
28486.1077903286,810.9199808425525,-738922.1686802689
-78123.92004948063,11354.964616814583,554812.8145235743
-45494.701719548546,5569.260759755796,491720.30005069217
4339.059940546859,-4670.858143454226,-390669.3427061842
32220.694070887206,141.1052195128664,-1003730.9401994895
-83234.30236704386,-6056.736592633013,484925.898050583
-43598.394567921605,-6728.779386652983,473412.0330454789
-66319.12425964203,-1854.0204451129207,513749.0037956628
13458.373365081605,-7021.717744631184,526892.2034704572
-27666.219496175465,-6586.357609868883,522647.43619694794
88067.70573431837,-5845.287770036953,524438.4411266196
-54951.906484041,-3980.692611450625,478873.4581863928
64440.37736867579,9217.547158204923,522970.93456401984
4036.4677113504613,-962.4356334271399,-1156675.1729870054
74725.4599159677,-2689.5128374258043,520113.9120123609
