Sigma,Gamma,Beta
67989.95040491591,-6947.428701584214,-610943.8732072358
87250.55958477879,8155.6771714249235,-426368.6849271042
-9052.486314535612,5998.090618137905,-610943.8732072358
-47573.70467426138,10313.263724711946,127356.87991329105
-66834.31385412427,5998.090618137905,-426368.6849271042
-66834.31385412427,-4789.842148297194,-426368.6849271042
67989.95040491591,-6947.428701584214,311932.06819342263
29468.732045190143,8155.6771714249235,-610943.8732072358
-47573.70467426138,-2632.2555950101314,-610943.8732072358
-28313.09549439811,8155.6771714249235,-426368.6849271042
67989.95040491591,-6947.428701584214,496507.2564735543
-28313.09549439811,8155.6771714249235,-980094.2497674992
-47573.70467426138,-474.6690417231546,127356.87991329105
87250.55958477879,10313.263724711946,-795519.0614873676
-86094.92303398676,8155.6771714249235,-426368.6849271042
-86094.92303398676,-9105.01525487119,127356.87991329105
10208.122865327261,-2632.2555950101314,-610943.8732072358
-47573.70467426138,3840.5040648508852,-426368.6849271042
-28313.09549439811,3840.5040648508852,127356.87991329105
-9052.486314535612,-6947.428701584214,311932.06819342263
-9052.486314535612,-6947.428701584214,496507.2564735543
-66834.31385412427,8155.6771714249235,-980094.2497674992
-28313.09549439811,-9105.01525487119,865657.6330338176
67989.95040491591,10313.263724711946,-610943.8732072358
87250.55958477879,1682.917511563864,-426368.6849271042
-28313.09549439811,-4789.842148297194,865657.6330338176
-9052.486314535612,10313.263724711946,-426368.6849271042
29468.732045190143,-474.6690417231546,-795519.0614873676
48729.34122505304,3840.5040648508852,-57218.30836684075
-47573.70467426138,8155.6771714249235,865657.6330338176
10208.122865327261,8155.6771714249235,865657.6330338176
10208.122865327261,5998.090618137905,865657.6330338176
87250.55958477879,10313.263724711946,-241793.49664697243
-66834.31385412427,-6947.428701584214,311932.06819342263
48729.34122505304,5998.090618137905,-980094.2497674992
-28313.09549439811,-9105.01525487119,681082.444753686
-28313.09549439811,-6947.428701584214,-980094.2497674992
-47573.70467426138,10313.263724711946,-610943.8732072358
29468.732045190143,-6947.428701584214,-980094.2497674992
29468.732045190143,-474.6690417231546,311932.06819342263
-28313.09549439811,-2632.2555950101314,311932.06819342263
-28313.09549439811,5998.090618137905,-241793.49664697243
-28313.09549439811,5998.090618137905,-795519.0614873676
10208.122865327261,8155.6771714249235,681082.444753686
10208.122865327261,-9105.01525487119,-795519.0614873676
-86094.92303398676,1682.917511563864,865657.6330338176
-9052.486314535612,-474.6690417231546,311932.06819342263
48729.34122505304,-2632.2555950101314,-610943.8732072358
-47573.70467426138,3840.5040648508852,-795519.0614873676
48729.34122505304,1682.917511563864,-57218.30836684075
10208.122865327261,5998.090618137905,-241793.49664697243
-28313.09549439811,8155.6771714249235,-57218.30836684075
-47573.70467426138,-474.6690417231546,-241793.49664697243
29468.732045190143,-474.6690417231546,-610943.8732072358
10208.122865327261,1682.917511563864,-57218.30836684075
-9052.486314535612,-474.6690417231546,-610943.8732072358
10208.122865327261,-2632.2555950101314,-426368.6849271042
-28313.09549439811,8155.6771714249235,865657.6330338176
48729.34122505304,-474.6690417231546,-795519.0614873676
-47573.70467426138,5998.090618137905,-57218.30836684075
-9052.486314535612,10313.263724711946,127356.87991329105
-47573.70467426138,-4789.842148297194,311932.06819342263
29468.732045190143,1682.917511563864,-241793.49664697243
29468.732045190143,8155.6771714249235,127356.87991329105
29468.732045190143,10313.263724711946,311932.06819342263
-86094.92303398676,-6947.428701584214,496507.2564735543
-86094.92303398676,10313.263724711946,-57218.30836684075
-66834.31385412427,-2632.2555950101314,-57218.30836684075
-66834.31385412427,-474.6690417231546,311932.06819342263
67989.95040491591,-474.6690417231546,-795519.0614873676
-47573.70467426138,-9105.01525487119,681082.444753686
29468.732045190143,3840.5040648508852,865657.6330338176
87250.55958477879,-4789.842148297194,-426368.6849271042
48729.34122505304,8155.6771714249235,-610943.8732072358
10208.122865327261,5998.090618137905,681082.444753686
-86094.92303398676,1682.917511563864,127356.87991329105
-86094.92303398676,8155.6771714249235,-241793.49664697243
29468.732045190143,-2632.2555950101314,-795519.0614873676
29468.732045190143,1682.917511563864,-57218.30836684075
29468.732045190143,1682.917511563864,865657.6330338176
-9052.486314535612,5998.090618137905,-795519.0614873676
87250.55958477879,-6947.428701584214,-426368.6849271042
67989.95040491591,1682.917511563864,-57218.30836684075
29468.732045190143,-4789.842148297194,-426368.6849271042
87250.55958477879,3840.5040648508852,311932.06819342263
87250.55958477879,3840.5040648508852,-610943.8732072358
-66834.31385412427,8155.6771714249235,127356.87991329105
-28313.09549439811,5998.090618137905,681082.444753686
10208.122865327261,-4789.842148297194,-426368.6849271042
87250.55958477879,3840.5040648508852,-795519.0614873676
-66834.31385412427,-2632.2555950101314,681082.444753686
-9052.486314535612,-4789.842148297194,865657.6330338176
-66834.31385412427,1682.917511563864,311932.06819342263
10208.122865327261,-4789.842148297194,311932.06819342263
-28313.09549439811,-4789.842148297194,311932.06819342263
67989.95040491591,-9105.01525487119,311932.06819342263
-28313.09549439811,-474.6690417231546,865657.6330338176
48729.34122505304,8155.6771714249235,681082.444753686
10208.122865327261,1682.917511563864,-980094.2497674992
87250.55958477879,-474.6690417231546,681082.444753686
