Sigma,Gamma,Beta
56026.176,-4501.271,-735871.3
2301.6914,5406.8613,-448532.72
-10538.309,2614.9707,-706484.9
-58425.812,21525.883,559586.06
-42410.15,2288.0527,-376211.78
-43569.76,-5920.3047,-373290.53
82884.41,-8744.617,512796.88
16142.197,7459.998,-722701.9
-33675.55,-4643.0825,-693992.4
-20610.166,8437.3125,-384055.5
96383.34,-8145.0044,522270.34
-19080.395,7105.5195,-1148289.8
-61121.684,-3826.938,559484.9
30342.354,12075.776,-1007031.94
-45459.027,11064.356,-373381.9
-87856.22,-9453.247,553808.44
1407.2526,-4050.6553,-712891.25
-32695.11,-438.57913,-377291.38
-41189.01,-802.9755,562921.44
-8949.5205,-8044.5083,518969.53
-17912.773,-8387.3955,505980.94
-35765.97,8560.773,-1136883.4
-56217.492,-7247.821,477356.9
51793.777,11566.471,-741144.94
5530.4316,-1705.7097,-448746.6
-56154.668,-6518.9067,476837.62
-11162.737,15298.433,-391423.84
15892.268,-2438.596,-988195.3
68941.98,321.75452,574442.9
-66516.77,11092.783,481889.66
205.67183,11182.007,495910.12
-1279.5284,2271.8438,494108.56
71877.4,12999.238,59465.082
-66229.875,-9425.3955,508874.25
29510.215,1821.1355,-1179846.0
-46050.09,-8022.524,489829.28
-19742.512,-5001.0806,-1142485.6
-29479.43,18418.857,-697579.3
16282.691,-4412.635,-1165892.1
37774.652,-3449.9343,525283.7
-29033.445,-6453.832,516204.75
-31674.123,2250.6807,43098.01
-17662.764,1691.4875,-965574.6
14406.895,10935.306,513256.34
4818.0723,-5134.312,-976865.4
-90090.98,-3320.857,479526.03
-9260.837,-4034.8352,519802.44
38970.074,-2944.9133,-723361.06
-29448.545,-528.53735,-959820.06
70362.98,-1580.4011,574279.5
816.2358,2132.831,38965.46
-42341.965,13902.91,547495.94
-49652.65,-5088.796,42611.7
15946.575,-2762.6855,-720258.75
-9716.148,-2824.4119,541510.3
-10816.752,-2987.745,-705468.06
4812.701,-3970.7815,-392248.34
-53219.473,12152.56,478583.75
28969.957,-2245.367,-1001252.5
-64543.996,5740.1714,542666.25
-22359.936,19228.172,564676.94
-49066.32,-7250.457,512942.47
13326.723,-2789.6428,30088.93
13322.903,9727.623,558851.0
33109.074,16186.674,524904.8
-90297.8,-9591.329,488820.56
-85761.84,28806.535,540329.1
-82701.43,-8803.099,534328.56
-66018.07,-4892.622,509719.28
43631.44,-2187.4304,-1017134.3
-68867.79,-8548.419,483931.78
45967.566,-1294.9105,520071.5
6954.2603,-2840.7861,-448184.22
36739.59,5834.1187,-725145.3
13047.559,2270.0,511699.72
-86829.055,-3470.0015,554074.5
-60878.723,13174.428,49787.13
15920.114,-3420.8184,-988042.7
9518.63,-2718.953,539482.5
46461.125,-2865.7642,520352.5
-6143.077,1743.0271,-970971.0
7330.3877,-3377.4382,-448000.0
115156.37,-2304.8604,588803.4
22319.646,-4358.3125,-396488.66
23632.686,877.31793,476842.4
29900.387,204.82031,-741238.75
-75676.07,11428.56,554828.25
-45513.293,2450.818,489761.6
4912.8823,-4483.7725,-392138.7
33383.215,-252.14836,-1006278.8
-84262.164,-6746.176,481251.7
-37996.56,-4851.389,477553.22
-65280.598,-3239.7158,509469.78
12380.163,-6281.8325,520131.5
-29151.916,-7333.002,516230.6
82738.07,-9276.42,512790.3
-56215.71,-4759.678,476223.3
65638.37,6635.8984,520661.9
3649.3914,-1660.2427,-1157986.4
74063.305,-3118.6133,515274.72
