Sigma,Gamma,Beta,Healing_Time,Final_Healing_Percentage
0.005,0.005,0.0,1091700.0,95.16692883698222
0.005,0.005,0.15707963267948966,1265700.0,95.01188737912342
0.005,0.005,0.3141592653589793,1525200.0,95.01237632389974
0.005,0.005,0.47123889803846897,1793400.0,95.00329602264111
0.005,0.005,0.6283185307179586,2377500.0,95.00403237314308
0.005,0.005,0.7853981633974483,2964600.0,95.00380363805144
0.005,0.005,0.9424777960769379,2979900.0,95.00527401549174
0.005,0.005,1.0995574287564276,2736000.0,95.001396497933
0.005,0.005,1.2566370614359172,2794200.0,95.00444640440193
0.005,0.005,1.413716694115407,2834100.0,95.00962774059094
0.005,0.005,1.5707963267948966,2868900.0,95.00283079629429
0.005,0.01,0.0,1087500.0,95.10268088759327
0.005,0.01,0.15707963267948966,1263300.0,95.01700169713641
0.005,0.01,0.3141592653589793,1523100.0,95.00180622285991
0.005,0.01,0.47123889803846897,1791300.0,95.00509837942882
0.005,0.01,0.6283185307179586,2373900.0,95.00465493488275
0.005,0.01,0.7853981633974483,2953500.0,95.00433328440904
0.005,0.01,0.9424777960769379,2975400.0,95.0038908446731
0.005,0.01,1.0995574287564276,2733300.0,95.0052039833053
0.005,0.01,1.2566370614359172,2791200.0,95.00372891486867
0.005,0.01,1.413716694115407,2829000.0,95.01174389530514
0.005,0.01,1.5707963267948966,2858100.0,95.00331899185295
0.005,0.015,0.0,1085700.0,95.12647020442867
0.005,0.015,0.15707963267948966,1262100.0,95.00041255312615
0.005,0.015,0.3141592653589793,1522500.0,95.01406749531976
0.005,0.015,0.47123889803846897,1790400.0,95.00701505238615
0.005,0.015,0.6283185307179586,2372400.0,95.00673940977632
0.005,0.015,0.7853981633974483,2947800.0,95.00190500512738
0.005,0.015,0.9424777960769379,2973300.0,95.00072614830023
0.005,0.015,1.0995574287564276,2731800.0,95.00077358693635
0.005,0.015,1.2566370614359172,2790000.0,95.0067228495201
0.005,0.015,1.413716694115407,2826900.0,95.01159788117167
